URL,chinese_proxy1-status,multiple_ip-status,referer-status,user-agent-status,low_depth_limit-status,low_concurrent_req_high_delay-status,high_concurrent_req_low_delay-status,high_depth_limit-status,default-status,chinese_proxy1-flags,multiple_ip-flags,referer-flags,user-agent-flags,low_depth_limit-flags,low_concurrent_req_high_delay-flags,high_concurrent_req_low_delay-flags,high_depth_limit-flags,default-flags,chinese_proxy1-number_of_tags,multiple_ip-number_of_tags,referer-number_of_tags,user-agent-number_of_tags,low_depth_limit-number_of_tags,low_concurrent_req_high_delay-number_of_tags,high_concurrent_req_low_delay-number_of_tags,high_depth_limit-number_of_tags,default-number_of_tags,chinese_proxy1-length,multiple_ip-length,referer-length,user-agent-length,low_depth_limit-length,low_concurrent_req_high_delay-length,high_concurrent_req_low_delay-length,high_depth_limit-length,default-length,chinese_proxy1-error_message,multiple_ip-error_message,referer-error_message,user-agent-error_message,low_depth_limit-error_message,low_concurrent_req_high_delay-error_message,high_concurrent_req_low_delay-error_message,high_depth_limit-error_message,default-error_message,chinese_proxy1-error_type,multiple_ip-error_type,referer-error_type,user-agent-error_type,low_depth_limit-error_type,low_concurrent_req_high_delay-error_type,high_concurrent_req_low_delay-error_type,high_depth_limit-error_type,default-error_type
quora.com,429,429,429,200,429,429,429,429,429,[],[],[],[],[],[],[],[],[],0,0,0,187,0,0,0,0,0,0,0,0,109466,0,0,0,0,0,,,,,,,,,,HttpError,HttpError,HttpError,,HttpError,HttpError,HttpError,HttpError,HttpError
udemy.com,403,403,403,200,,,,,403,[],[],[],[],[],[],[],[],[],0,0,0,1556,0,0,0,0,0,0,0,0,248214,0,0,0,0,0,,,,,,,,,,HttpError,HttpError,HttpError,,Other,Other,Other,Other,HttpError
stackexchange.com,200,200,200,200,403,403,403,403,200,[],[],[],[],[],[],[],[],[],1169,1177,1176,1176,0,0,0,0,1174,122543,122982,122949,122949,0,0,0,0,122931,,,,,,,,,,,,,,HttpError,HttpError,HttpError,HttpError,
whatsapp.com,200,200,200,200,200,200,200,200,200,[],[],[],[],[],[],[],[],[],382,382,382,382,382,382,382,382,382,36530,36530,36530,36530,36530,36530,36530,36530,36530,,,,,,,,,,,,,,,,,,
telegraph.co.uk,200,200,200,200,200,200,200,200,200,[u'partial'],[],[],[],[],[],[],[],[],4096,3979,4094,4096,4075,4050,4050,4075,4039,705992,712526,706396,705992,703167,701210,701210,703167,699874,,,,,,,,,,,,,,,,,,
glassdoor.com,200,200,200,200,200,200,200,200,200,[],[],[],[],[],[],[],[],[],1018,1022,1022,1030,1022,1022,1022,1022,1022,201920,202267,202249,202626,202336,202227,202200,202258,202213,,,,,,,,,,,,,,,,,,
sabah.com.tr,,200,200,200,200,200,200,200,200,[],[],[],[],[],[],[],[],[],0,2576,2539,2539,2539,2539,2539,2539,2539,0,335146,322801,322801,322801,322801,322801,322801,322801,,,,,,,,,,Other,,,,,,,,
accuweather.com,,200,200,200,200,200,200,200,200,[],[],[],[],[],[],[],[],[],0,1234,1243,1243,1234,1234,1234,1234,1234,0,146267,146909,146977,145770,145771,145745,145732,145722,,,,,,,,,,Other,,,,,,,,
flipkart.com,503,200,200,200,200,200,200,200,200,[],[],[],[],[],[],[],[],[],0,719,718,718,716,718,716,716,718,0,961897,950095,948639,978714,979596,958583,955544,946965,,,,,,,,,,HttpError,,,,,,,,
rottentomatoes.com,200,200,200,200,200,200,200,200,200,[],[],[],[],[],[],[],[],[],1432,1388,1432,1432,1432,1432,1432,1432,1432,141917,139179,141917,141916,141866,141865,141866,141866,141975,,,,,,,,,,,,,,,,,,
